commit_hash,introduced_HIGH,removed_HIGH,introduced_MEDIUM,removed_MEDIUM,introduced_LOW,removed_LOW
a56b0e340aecef9a8dd3b65512863917d7e5317e,5,0,25,0,1525,0
5c8e6da655556ba9e5ddde0466cb92bd9085bdeb,0,0,0,0,0,0
1b933271e28d8747fd70fd9eda14e2c6e2b2a48a,0,0,0,0,0,0
a688e9a795f86d0df1d3082b5feae4e3da9bb3dd,0,0,0,0,0,0
3457026c55ba06f7fbac36f6316eefaea52896e9,0,0,0,0,0,0
f54903a7fe0dee5bad4f1bf8310d3481f3da18a8,0,0,0,0,0,0
5140804f755c1defb06722cac6b41850a35aad57,0,0,0,0,0,0
8888cf9652f594fd2caa1a68e2c54cc0299bdeeb,0,0,0,0,0,0
2528581c4ce80a90826f9f07b4db70b4d21173a2,0,0,0,0,0,0
322003aad71d4efc3582d5220fac38e426425c93,0,0,0,0,0,0
852dc20a84c2b62dac80c4bd558f257474655f2c,0,0,0,0,0,0
2341a7684bcbff71f34dbbb930e78b519a0d7f0b,0,0,0,0,0,0
d6db445073c4f1df04c197f77da36a3e63e9c468,0,0,0,0,0,0
46fcaa097e318d7de33e8210a397dde2bb43a076,0,0,0,0,0,0
7d5ed2a7f88ab6fd4d0fec812d34e1bfc2b65896,0,0,0,0,0,0
18532f3e1c647098438c343aeca51ed07131f170,0,0,0,0,0,0
0afe5520903d71e02da63014c73a318839ceab44,0,0,0,0,0,0
6751d457371f166623bfc01b5921fb6a7a3ae4b4,0,0,0,0,0,0
b1c0f868b3929f67061cfd728d1db5037bc845ce,0,0,0,0,0,0
d04f794afa3408ff53505b8895c457d17167ad61,0,0,0,0,0,0
165e385f7ae8702a9841b707dfc9a9a3a79eb615,0,0,0,0,0,0
084d522f0b88aa46055840e6831c6a88253fe4ad,0,0,0,0,0,0
af3862fc5955fa6f3a987634f80c55fba383b16a,0,0,0,0,0,0
3ca2c1756dd5824ea8e3ed107a55f2ac0c4684e1,0,0,0,0,0,0
8208b3746370b60d3d8a41eec2470a7ab4bd2ab7,0,0,0,0,0,0
71b02a0047267cc9d703dcf83695bed7aa009d38,0,0,0,0,0,0
4417d805de005b14e50b62c48c6cd311d528144a,0,0,0,0,0,0
ac3623cd84c391b64c4ada6f73d863e858af9f2b,0,0,0,0,0,0
d9c42008ddc3b626bce3dcad44c877e35a76a2b3,0,0,0,0,0,0
